Layer	PeoplePromise	theme	SubTheme	FurtherSubTheme	routingownersecondary	Notes
3	-	imposed decisions	-	-	CIRG	
3	-	improved performance	-	-	PERRG	
3	-	improvement ideas	-	-	PEGG	
3	-	inappropriate behaviour	-	-	CIRG	
3	-	inappropriate conduct	-	-	CIRG	
3	-	incident reporting	-	-	CIRG	
3	-	inclusion	-	-	CIRG	
3	-	inconsistent follow-up	-	-	CIRG	
3	-	independence	-	-	CIRG	
3	-	inefficiency	-	-	PERRG	
3	-	inflation	-	-	CIRG	
3	-	influence	-	-	CIRG	
3	-	infrastructure issues	-	-	PERRG	
3	-	initiative	-	-	PEGG	
3	-	innovation	-	-	PEGG	
3	-	interest in wellbeing	-	-	PERRG	
3	-	inter-team collaboration	-	-	CIRG	
3	-	intimidation	-	-	CIRG	
3	-	involvement	-	-	CIRG	
3	-	involvement in change	-	-	CIRG	
3	-	isolation	-	-	CIRG	
3	-	issues addressed	-	-	CIRG	
3	-	job improvement	-	-	PEGG	
3	-	job satisfaction	-	-	CIRG	
3	-	job seeking	-	-	PERRG	
3	-	juggling tasks	-	-	PERRG	
3	-	kindness	-	-	CIRG	
3	-	lack of action	-	-	PEGG	
3	-	lack of follow-up	-	-	CIRG	
3	-	lack of influence	-	-	CIRG	
3	-	lack of supplies	-	-	PERRG	
3	-	leadership concerns	-	-	CIRG	
3	-	leadership decisions	-	-	CIRG	
3	-	leadership visibility	-	-	CIRG	
3	-	learning opportunities	-	-	Education Leads	
3	-	listening	-	-	CIRG	
3	-	loyalty	-	-	PERRG	
3	-	making improvements	-	-	PEGG	
3	-	manageable balance	-	-	CIRG	
3	-	manager communication	-	-	CIRG	
3	-	manager inaction	-	-	CIRG	
3	-	manager openness	-	-	CIRG	
3	-	manager seeks input	-	-	CIRG	
3	-	manager wellbeing support	-	-	CIRG	
3	-	marginalisation	-	-	CIRG	
3	-	meaningful work	-	-	CIRG	
3	-	micromanagement	-	-	CIRG	
3	-	miscellaneous	-	-	CIRG	
3	-	mismatch between responsibilities and band	-	-	CIRG	
3	-	mixed experiences	-	-	CIRG	
